Connecting to host 10.0.0.2, port 8
[  7] local 10.0.0.6 port 46436 connected to 10.0.0.2 port 8
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec  37.2 MBytes   312 Mbits/sec    0   1.84 MBytes       
[  7]   1.00-2.00   sec  30.0 MBytes   252 Mbits/sec    0   3.12 MBytes       
[  7]   2.00-3.00   sec  27.5 MBytes   231 Mbits/sec   87   1.86 MBytes       
[  7]   3.00-4.00   sec  26.2 MBytes   220 Mbits/sec    0   1.97 MBytes       
[  7]   4.00-5.00   sec  26.2 MBytes   220 Mbits/sec    0   2.05 MBytes       
[  7]   5.00-6.00   sec  26.2 MBytes   220 Mbits/sec    0   2.12 MBytes       
[  7]   6.00-7.00   sec  25.0 MBytes   210 Mbits/sec    0   2.16 MBytes       
[  7]   7.00-8.00   sec  26.2 MBytes   220 Mbits/sec    0   2.19 MBytes       
[  7]   8.00-9.00   sec  27.5 MBytes   231 Mbits/sec    0   2.20 MBytes       
[  7]   9.00-10.00  sec  26.2 MBytes   220 Mbits/sec    0   2.21 MBytes       
[  7]  10.00-11.00  sec  27.5 MBytes   231 Mbits/sec    0   2.21 MBytes       
[  7]  11.00-12.00  sec  26.2 MBytes   220 Mbits/sec    0   2.21 MBytes       
[  7]  12.00-13.00  sec  26.2 MBytes   220 Mbits/sec    0   2.21 MBytes       
[  7]  13.00-14.00  sec  26.2 MBytes   220 Mbits/sec    0   2.22 MBytes       
[  7]  14.00-15.00  sec  25.0 MBytes   210 Mbits/sec    0   2.23 MBytes       
[  7]  15.00-16.00  sec  28.8 MBytes   241 Mbits/sec   73   1.70 MBytes       
[  7]  16.00-17.00  sec  26.2 MBytes   220 Mbits/sec    0   1.84 MBytes       
[  7]  17.00-18.00  sec  26.2 MBytes   220 Mbits/sec    0   1.96 MBytes       
[  7]  18.00-19.00  sec  26.2 MBytes   220 Mbits/sec    0   2.05 MBytes       
[  7]  19.00-20.00  sec  26.2 MBytes   220 Mbits/sec    0   2.12 MBytes       
