Connecting to host 10.0.0.2, port 8
[  7] local 10.0.0.8 port 35510 connected to 10.0.0.2 port 8
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  7]   0.00-1.00   sec  37.2 MBytes   312 Mbits/sec    0   1.53 MBytes       
[  7]   1.00-2.00   sec  35.0 MBytes   294 Mbits/sec   30   1.46 MBytes       
[  7]   2.00-3.00   sec  21.2 MBytes   178 Mbits/sec  1061   1.09 MBytes       
[  7]   3.00-4.00   sec  13.8 MBytes   115 Mbits/sec  1679    287 KBytes       
[  7]   4.00-5.00   sec  12.5 MBytes   105 Mbits/sec  305   91.9 KBytes       
[  7]   5.00-6.00   sec  10.0 MBytes  83.9 Mbits/sec   22    103 KBytes       
[  7]   6.00-7.00   sec  6.25 MBytes  52.4 Mbits/sec   21    230 KBytes       
[  7]   7.00-8.00   sec  8.75 MBytes  73.4 Mbits/sec  181    103 KBytes       
[  7]   8.00-9.00   sec  6.25 MBytes  52.4 Mbits/sec   95    157 KBytes       
[  7]   9.00-10.00  sec  7.50 MBytes  62.9 Mbits/sec   72   83.4 KBytes       
[  7]  10.00-11.00  sec  6.25 MBytes  52.4 Mbits/sec  129    119 KBytes       
[  7]  11.00-12.00  sec  8.75 MBytes  73.4 Mbits/sec   36   76.4 KBytes       
[  7]  12.00-13.00  sec  6.25 MBytes  52.4 Mbits/sec    6   83.4 KBytes       
[  7]  13.00-14.00  sec  6.25 MBytes  52.4 Mbits/sec  104    110 KBytes       
[  7]  14.00-15.00  sec  6.25 MBytes  52.4 Mbits/sec   17    181 KBytes       
[  7]  15.00-16.00  sec  8.75 MBytes  73.4 Mbits/sec  115   83.4 KBytes       
[  7]  16.00-17.00  sec  10.0 MBytes  83.9 Mbits/sec   15    100 KBytes       
[  7]  17.00-18.00  sec  10.0 MBytes  83.9 Mbits/sec   24   79.2 KBytes       
[  7]  18.00-19.00  sec  10.0 MBytes  83.9 Mbits/sec    9    109 KBytes       
[  7]  19.00-20.00  sec  8.75 MBytes  73.4 Mbits/sec   18   91.9 KBytes       
[  7]  20.00-21.00  sec  11.2 MBytes  94.4 Mbits/sec   17   93.3 KBytes       
[  7]  21.00-22.00  sec  11.2 MBytes  94.4 Mbits/sec   35   87.7 KBytes       
[  7]  22.00-23.00  sec  10.0 MBytes  83.9 Mbits/sec    3    119 KBytes       
[  7]  23.00-24.00  sec  11.2 MBytes  94.4 Mbits/sec   46   70.7 KBytes       
[  7]  24.00-25.00  sec  10.0 MBytes  83.9 Mbits/sec  118    124 KBytes       
[  7]  25.00-26.00  sec  8.75 MBytes  73.4 Mbits/sec   38   90.5 KBytes       
[  7]  26.00-27.00  sec  13.8 MBytes   115 Mbits/sec  157    120 KBytes       
[  7]  27.00-28.00  sec  26.2 MBytes   220 Mbits/sec    0    233 KBytes       
[  7]  28.00-29.00  sec  28.8 MBytes   241 Mbits/sec    0    317 KBytes       
[  7]  29.00-30.00  sec  28.8 MBytes   241 Mbits/sec  196    272 KBytes       
[  7]  30.00-31.00  sec  11.2 MBytes  94.4 Mbits/sec  271   93.3 KBytes       
[  7]  31.00-32.00  sec  10.0 MBytes  83.9 Mbits/sec   29    103 KBytes       
[  7]  32.00-33.00  sec  11.2 MBytes  94.4 Mbits/sec   24   91.9 KBytes       
[  7]  33.00-34.00  sec  10.0 MBytes  83.9 Mbits/sec    7    228 KBytes       
[  7]  34.00-35.00  sec  8.75 MBytes  73.4 Mbits/sec  172    112 KBytes       
[  7]  35.00-36.00  sec  7.50 MBytes  62.9 Mbits/sec   20    110 KBytes       
[  7]  36.00-37.00  sec  7.50 MBytes  62.9 Mbits/sec   26   97.6 KBytes       
[  7]  37.00-38.00  sec  8.75 MBytes  73.4 Mbits/sec   25   91.9 KBytes       
[  7]  38.00-39.00  sec  10.0 MBytes  83.9 Mbits/sec   18    124 KBytes       
[  7]  39.00-40.00  sec  8.75 MBytes  73.4 Mbits/sec   59   89.1 KBytes       
[  7]  40.00-41.00  sec  5.00 MBytes  41.9 Mbits/sec    7   91.9 KBytes       
[  7]  41.00-42.00  sec  3.75 MBytes  31.5 Mbits/sec    3   97.6 KBytes       
[  7]  42.00-43.00  sec  5.00 MBytes  41.9 Mbits/sec    7    107 KBytes       
[  7]  43.00-44.00  sec  11.2 MBytes  94.4 Mbits/sec   36   97.6 KBytes       
[  7]  44.00-45.00  sec  8.75 MBytes  73.4 Mbits/sec   24   79.2 KBytes       
[  7]  45.00-46.00  sec  10.0 MBytes  83.9 Mbits/sec    6    189 KBytes       
[  7]  46.00-47.00  sec  10.0 MBytes  83.9 Mbits/sec  116    106 KBytes       
[  7]  47.00-48.00  sec  10.0 MBytes  83.9 Mbits/sec  139    122 KBytes       
[  7]  48.00-49.00  sec  10.0 MBytes  83.9 Mbits/sec   54   82.0 KBytes       
[  7]  49.00-50.00  sec  11.2 MBytes  94.4 Mbits/sec    9   91.9 KBytes       
[  7]  50.00-51.00  sec  10.0 MBytes  83.9 Mbits/sec   16    105 KBytes       
[  7]  51.00-52.00  sec  11.2 MBytes  94.4 Mbits/sec   30    102 KBytes       
